id,subject_code,name,college,branch,year,description,portion_link
1,CS200,Principles of Data Communications,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1GW07PNHnPOe169HUPBkPp5JKMbYac9N1/view?usp=sharing
2,CS201,Data Structures,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1GL9RqV77IXLn-cKGU2ToH77HZRxdUiZ7/view?usp=sharing
3,CS202,Computer Organization and Architecture,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1pPaDoY22Y7epGQolAXjri3tMsNft8ky5/view?usp=sharing
4,CS203,Discrete Mathematics,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1jqlXRt0FJjMT3csYj60r2UYe98uCM44f/view?usp=sharing
5,MA200,Mathematics-III ,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1r9OzkggCi2-kqgOhZwXT0hZmiLYW6WxD/view?usp=sharing
6,CS204,Data Structures Laboratory ,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/18udc8u0yyNeCjH6t-IFQcVedlsXTUqeS/view?usp=sharing
7,CS250,Digital Systems Design,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1xHdB6KPzhGTQUmrCJml4seZb0qHfjGpQ/view?usp=sharing
8,HS250,Economics,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1J40DWZMiRQUealxMpNIdK1nkX_x1Xsxx/view?usp=sharing
9,CS251,Systems Programming,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/16Qy1EJg_EnaGByMpgnWSOTNmHwoqWKs8/view?usp=sharing
10,CS252,Object Oriented Programming ,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1vNgg13VDVKpgPILLox2c6lNY02zPdVzv/view?usp=sharing
11,MA250,Mathematics-IV,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1r22gsEoKGUAMu0ScjgmKnCL92PNyxoj-/view?usp=sharing
12,CS253,Object Oriented Programming Laboratory,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1CU6yvqTBiAayARRBPo2ISoi19EyOq5bE/view?usp=sharing
13,CS254,Digital Systems Laboratory,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1Ek0YrjnJJjdeSaOcx7uO4hlm0qR74eU9/view?usp=sharing
14,VE200,Value Education ,NITG,CSE,SECOND,NULL,https://drive.google.com/file/d/1AiUnLgD_LpFV9IpvnrF8SE3v-gUwj9sX/view?usp=sharing
