id,subject_code,name,college,branch,year,description,portion_link
1,CV300,Structural Design-I (RCC) ,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/11f7ZXmxmnF8FbTtpZYyJy-WQ0UyvtKai/view?usp=sharing
2,CV301,Structural Analysis-II ,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1rm0Jf789KasocS5fEcGHbuGKcYHGSmWW/view?usp=sharing
3,CV302,Transportation Engineering-I,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1q3Kgg36-iiqg3NgZ-WiN81GxvH7cehsA/view?usp=sharing
4,CV303,Geotechnical Engineering-II ,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/150oUJvP6ngUG8o8thAFu8o4NhappSEIo/view?usp=sharing
5,ES301,Environmental Studies,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1fXUyuAPQPWHVfopEmivmOv51AmU6bkvC/view?usp=sharing
6,HU300,Professional Communication-II and Language Lab ,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/10X30vveBHft9uj77tsBZO-Ul-ysw2hip/view?usp=sharing
7,HS300,Economics,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1w62Tzr4MwdJ8JYCQhd1qxJmSvD1nrq4j/view?usp=sharing
8,CV304,Transportation Engineering Lab,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1w6h5XxuSq3aJaarSqccG2DaTyPRA1whX/view?usp=sharing
9,CV305,Building Design and Drawing Lab,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1X8qSOXe25J-EMFU9EXYF4vSMp-2u1IgA/view?usp=sharing
10,CV350,Structural Design-II (Steel),NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1jSfVP4DrFTrvv9KJN8QM7nqamigNvP_6/view?usp=sharing
11,CV351,Water Resource Engineering,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1yWM5G1aiOujaTZ20pp-mDJVynNltz49K/view?usp=sharing
12,CV352,Transportation Engineering-II,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1Vk3M-LG1BFbMY3kUNoIAToAcUQo052ul/view?usp=sharing
13,CV353,Environmental Engineering-II,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1RR0sPFhxhiUEwXJJhkWuTMBEZIuBxAwl/view?usp=sharing
14,HS350,Management,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1pvQLm1qKa-JAeHV9MrKAnOgZxhXmL2ym/view?usp=sharing
15,CV354,Minor Project,NITG,CVE,THIRD,NULL,
16,CV355,Structural Design and Drawing Lab,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/1NgSs60_oujX4nyuSs7BnC1MPWJlqvOjI/view?usp=sharing
17,CV356,Environmental Engineering Lab ,NITG,CVE,THIRD,NULL,https://drive.google.com/file/d/14Ril6dqEpWgLsDSrdi6XKDdykPgaaXNI/view?usp=sharing
