id,subject_code,name,college,branch,year,description,portion_link
1,ME300,Manufacturing Technology-II,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1IfdIdNf1iVgx4RNHCAFQN8_NVrHjMrf9/view?usp=sharing
2,ME301,CAD/CAM,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/10RrhtAqlG6p9FvzexnQyNIMxdIc72XMs/view?usp=sharing
3,ME302,Turbo Machinery ,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1kwxpNRjdcJz8ZzYQDxGQcS09Vj2XLUYw/view?usp=sharing
4,ME303,Machine Design-I,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/17SJwu1-MUEQcPrqViZ2UTsxJ9kPr-emB/view?usp=sharing
5,ES301,Environmental Studies,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1ziUXicB7aumrbidYNIlIycISEQ9IAW6F/view?usp=sharing
6,HS300,Economics ,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1U-6STl7EYUmt9-qZzmZTyli0wkx6XO-J/view?usp=sharing
7,ME304,Mechanical Lab-1,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1Pj-xCNWAkPH0Aszi3puvYe8tzoM_dQH7/view?usp=sharing
8,ME305,Measurements and Metrology Lab,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1Hzz_q0_7SRQ-uz81w9RfvybD0zBAQvYF/view?usp=sharing
9,ME306,Mechanical Workshop-I,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1Hzz_q0_7SRQ-uz81w9RfvybD0zBAQvYF/view?usp=sharing
10,ME350,Heat Transfer,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1aMotWBSzQyASXzkSPSdWTq9pgV5pkTJt/view?usp=sharing
11,ME351,Automobile Engineering,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1uDZlGZFYgS8PD-U_VSVWF6eFKDGE9-qP/view?usp=sharing
12,ME352,Machine Design-II ,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/10InQJU2TWhe5rJsASnJAb7agf4TyMENJ/view?usp=sharing
13,HS350,Management,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1mg0lNqsXF8-OgcILrVQ4qepcNmZHEDOx/view?usp=sharing
14,HU350,Professional Communication-II and Languages Lab ,NITG,MCE,THIRD,NULL,
15,ME353,Mechanical Workshop-II,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1e5Ud30jmVXTJ_DNF9e43sZEYIZGLf0Zp/view?usp=sharing
16,ME354,Mechanical Lab-II,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1kkvQHsqyTjYboz1qs6hpJXsa1d1ok-Gl/view?usp=sharing
17,ME355,CAD/CAM Lab,NITG,MCE,THIRD,NULL,https://drive.google.com/file/d/1SacUsgAYTIg1xnK0ZcjhGguBmTg_z5di/view?usp=sharing
18,ME356,Mini Project/Industrial training,NITG,MCE,THIRD,NULL,
